Institucion_normalizada,Nro_Institucion,Tipo,Propiedad,Short_name,Fecha_procesada,año,Short_name_año,ROA,ROE,Apalancamiento_Global,Deterioros_Vencidos,Cobertura_Morosidad,Tasa_Morosidad,Credito_Activo,Deterioro_Credito,Ratio_Eficiencia,Intereses_C_Vigente,Comisiones_C_Vigente,Comisiones_perd_C_Vigente,Incobrables_C_Vigente,Gastos_C_Vigente,GPersonal_C_Vigente,Ctos_Ints_C_Vigente,Resultados_C_Vigente,Incob_C_Bruta,Incob_C_Ints,Ingr_C_Bruta,incr_Cartera,incr_Mora,incr_G_Personal,incr_Ingresos,incr_Incob,Ratio_Eficiencia_ctrol,Activos_promedio,Activos_promedio.1,ROA_1,ROE_1
ABN Amro Bank N.V. Sucursal Montevideo,212,Banco,Privado,ABN,2003-12-31,2003,ABN_2003,0.0078928483780829,0.1088238881638619,12.787657250080477,0.8993466579329165,7.347481839867386,0.0295923638672337,0.5828679569659021,0.0266137935443315,0.6397352922205517,0.0954547189807949,0.0252977753367667,0.0060146019191024,0.0095260863884017,0.0276413214816344,0.0274224546702737,0.0226508834543959,0.0135829635997134,0.0092441875028569,0.0997969140773261,0.0926299935055525,,,,,,1.649929813338724,1026.1979180887372,1026.1979180887372,0.0078928483780829,0.1088238881638619
ABN Amro Bank N.V. Sucursal Montevideo,212,Banco,Privado,ABN,2004-12-31,2004,ABN_2004,-0.0004650977607893,-0.0063617323389731,12.587497054046038,1.553574562453134,15.120507981190617,0.0133545493947504,0.5724912838602876,0.0207472882327082,0.8132609395379459,0.0800953468345571,0.0337782891869513,0.0059495945362525,0.0129408607441805,0.0284166088515044,0.0317378651998576,0.0196892951729328,-0.000742639829778,0.0127680413801618,0.1615681966008698,0.0790257095689653,0.1788619689761335,-0.4767543216230728,0.3643768477502875,-0.0108256639023842,0.6014434422623636,1.7585072319591506,1122.450761700915,1122.450761700915,-0.0004283644797532,-0.0058204011067055
ABN Amro Bank N.V. Sucursal Montevideo,212,Banco,Privado,ABN,2005-12-31,2005,ABN_2005,0.0115881382346245,0.1459988954157654,10.802221310711287,2.162597570850203,22.56036005720535,0.0074103878300574,0.6476460941175629,0.0160256867203402,0.772603244138156,0.0615534928455873,0.0274606163459405,0.0056152307384881,0.0051550769160534,0.0226869617312577,0.0304838970826199,0.0085044067405788,0.0170985712840414,0.0051168757968117,0.0837495433278728,0.0610973575913069,0.2205495258624601,-0.3267776937473483,0.1723254193794574,-0.0620043550963741,-0.513786075744381,1.536945411258423,1266.00340016692,1266.00340016692,0.011170781021672,0.1318400298312669
ABN Amro Bank N.V. Sucursal Montevideo,212,Banco,Privado,ABN,2006-12-31,2006,ABN_2006,0.0106960397984087,0.1163679023338482,9.089439804365014,4.6764100793924746,63.86310171198389,0.0029605089565564,0.7541039020648715,0.013844553924572,0.5965894491614945,0.061701861083599,0.0238424610375005,0.0042791122759721,0.0033744444837116,0.0221594821164322,0.0292437369200149,0.007194417150986,0.0140405540112418,0.0033644544105942,0.0546895089459245,0.0615191921712248,0.1650805241084452,-0.5366184376451848,0.1176821731590833,0.1678888285037338,-0.2373538529726746,1.7414331774518037,1312.217704067751,1312.217704067751,0.0107048950872331,0.1080063945946815
ABN Amro Bank N.V. Sucursal Montevideo,212,Banco,Privado,ABN,2007-12-31,2007,ABN_2007,0.0185866563818437,0.200088093723181,10.41577189025853,9.19021223029527,96.47104195757696,0.0019052875062899,0.7049079531239643,0.0175099965425349,0.606312395824195,0.0813726887999782,0.0221090148910533,0.0049891896043815,0.0061729664985236,0.025008087877391,0.0332647209275482,0.0155542719127094,0.0240216914468662,0.0061612052225772,0.0758604218387988,0.0812176504326543,0.1036824230951478,-0.2904567515713931,0.2554376308785893,0.4555412879174831,1.0189973951747675,1.6633739801736995,1425.9066646969118,1425.9066646969118,0.0172020263825325,0.1963744151615491
ACFOR S.A.,433,Circulos,Privado,ACFOR,2005-12-31,2005,ACFOR_2005,4.517239532170396e-06,5.144160607723903e-05,3.5494919081671057,0.0805348258706462,4.182934508816121,0.082001070909508,0.6446062210456652,0.0066039419669037,1.6146911519198668,0.2294808765936171,0.0,0.0290531344610171,0.0236646946087825,0.1170458017387439,0.1515984779046191,0.0036385856734161,0.0023331389050912,0.0217241643081159,0.1031227305737107,0.2106631989596878,,,,,,1.953756260434057,771.5945000482485,771.5945000482485,0.001389808074123,0.0063229205871282
ACFOR S.A.,433,Circulos,Privado,ACFOR,2006-12-31,2006,ACFOR_2006,0.0010603241936609,0.0047295077349068,3.3666196741854626,0.1075268817204292,5.735849056603775,0.061744446596033,0.6440729646835149,0.006639187806025,1.959665371974904,0.1421705929180057,0.0,0.0280095527316684,0.0158622519680395,0.0723236135271397,0.1210602352802429,0.0036559837249756,0.0018279918624877,0.0148828459985061,0.1115719618415592,0.1333923483360535,-0.069522325780684,-0.3145033031563493,-0.2569592536748588,-0.423539928013302,-0.3763083968290618,1.686585001493875,2.396421416910414,2.396421416910414,0.001112047782182,0.0048558897243106
ACFOR S.A.,433,Circulos,Privado,ACFOR,2007-12-31,2007,ACFOR_2007,-0.0281013124979617,-0.1098366149807482,2.505052087412861,0.4484732824427468,25.3817097415507,0.0190400058137422,0.6097702690623042,0.0085389339050179,2.056387665198237,0.2486202170611549,0.0,0.0352261362373596,0.0175575063895987,0.1003815238730228,0.158980627477127,0.0158165722117271,-0.0488572804385672,0.017223211365866,0.0706197854588793,0.2438864866828967,-0.0966637434338683,-0.733566725014587,0.186293455974807,0.579705419926114,-0.0001210339759671,1.7967694566813512,2.183130670987419,2.183130670987419,-0.0294761777062661,-0.1033132294195973
ACFOR S.A.,433,Circulos,Privado,ACFOR,2008-12-31,2008,ACFOR_2008,-0.1536577855070715,-0.6012584044322182,3.758274824473419,0.2297899427116484,4.918115942028986,0.0960856269113148,0.4814803661768249,0.0220795107033638,-1.004941434846266,0.2665268286081602,0.0,0.0654306786656742,0.4662697070167128,0.1153663982678123,0.2561743013735706,0.0965559239461397,-0.4360917518100007,0.4214678899082568,1.7494287890327491,0.2409174311926605,-0.5166418597427245,1.6471856043387607,-0.22113822382887,-0.4818284943697029,11.836404751384128,0.8211932650073208,1.7225402798338192,1.7225402798338192,-0.1940797398217296,-0.923484739934088
ACFOR S.A.,433,Circulos,Privado,ACFOR,2009-12-31,2009,ACFOR_2009,0.0011131015442653,0.0051172714354441,3.4268522000752166,0.5388601036269426,13.533854166666682,0.0356746765249537,0.4507496920528394,0.0192236598890942,2.436038514442916,0.2775275515093435,0.0,0.025778629611883,-0.1357930043124101,0.1478677527551509,0.3612841399137516,0.1121226641111643,0.0026832774317199,-0.1309611829944546,-0.4892955801104971,0.2676524953789278,-0.1240235162835393,-0.6951710832876563,0.2353948417435782,-0.0878681520538289,-1.255113031451163,1.9688216414488764,1.281649651001444,1.281649651001444,0.0011893131716432,0.0052651372696498
