"Short_name","Color"
"ACAC","#FF0000"
"ANDA","#FF2A00"
"ASI","#FF5400"
"BBVA","#FF7A00"
"BHU","#FFA000"
"BROU","#FFC800"
"Bandes","#FFF000"
"CdeC","#96FF00"
"Citi","#AAFF00"
"Consorcio","#7FFF00"
"Creditel","#55FF00"
"Del Este","#2BFF00"
"Directos","#00FF00"
"Discount","#00FF2B"
"E. de Valor","#00FF55"
"Exprinter","#00FF7F"
"FUCAC","#00FFAA"
"FUCEREP","#00FFD4"
"HSBC","#00FFFF"
"Hapoalim","#00D4FF"
"Heritage","#00AAFF"
"Italmundo","#007FFF"
"Itaú","#0055FF"
"Leumi","#002BFF"
"NBC","#0000FF"
"Nacion","#2B00FF"
"OCA","#5500FF"
"OCA CF","#7F00FF"
"Paigo","#AA00FF"
"Pass","#D400FF"
"Promotora","#FF00FF"
"Pronto","#FF00D4"
"Provincia","#FF00AA"
"Rep Micro","#FF007F"
"Santander","#FF0055"
"Scotia","#FF002B"
